"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000175857.4",170.051335993014,-3.04565170835467,0.326829434035722,-9.61956104104329,6.61126905855215e-22,1.25485590265287e-17,"GAPT","202309"
"ENSG00000269404.2",312.440114764659,-3.24064728602351,0.358762704021958,-9.59257482306124,8.59137274170118e-22,1.25485590265287e-17,"SPIB","6689"
"ENSG00000247982.2",1531.01851888727,-2.6856494106733,0.29549760897354,-9.33830034168489,9.78928928783456e-21,9.53215728920744e-17,"LINC00926","283663"
"ENSG00000167483.13",761.902767558693,-3.08649574105445,0.364988653591468,-9.12921170527036,6.89998725268441e-20,5.03906069063542e-16,"NIBAN3","199786"
"ENSG00000068831.14",3445.52660742823,-2.51975741290058,0.286498097469292,-9.02412201966414,1.81142036436817e-19,1.05830423367846e-15,"RASGRP2","10235"
"ENSG00000104921.10",305.845849726126,-2.98065706016091,0.370459730549136,-8.85055163304124,8.70877611503033e-19,4.2400127978711e-15,"FCER2","2208"
"ENSG00000174123.6",407.421323990244,-2.94404338634302,0.3691892503801,-8.7233648793935,2.70054295486837e-18,1.12697515425164e-14,"TLR10","81793"
"ENSG00000263264.1",119.140757509513,-2.96403134163892,0.356228920726563,-8.67439710075644,4.15747174580457e-18,1.51810080798054e-14,NA,NA
"ENSG00000111679.12",3121.9502621552,-1.67754573112635,0.196948711705297,-8.59975349985795,7.98874980274461e-18,2.59297065819751e-14,"PTPN6","5777"
"ENSG00000188404.4",777.609395168666,-2.48736372344365,0.300753497551166,-8.50739238682576,1.77888708987896e-17,5.19648496695442e-14,"SELL","6402"
"ENSG00000245164.2",908.374041818564,-2.77138482733137,0.344105480526962,-8.48531020964212,2.15144007641518e-17,5.71344250111275e-14,"LINC00861","100130231"
"ENSG00000125245.8",88.1240176801658,-2.64112390223942,0.322951626701199,-8.45144859722182,2.87710491281427e-17,7.00383239276087e-14,"GPR18","2841"
"ENSG00000175463.7",1901.8521009611,-2.03312443109103,0.246239389363757,-8.40304421447952,4.35050793069162e-17,9.77592597472029e-14,"TBC1D10C","374403"
"ENSG00000104894.7",2524.97342020551,-2.61550126465726,0.327267186065876,-8.34053229895305,7.39568582198923e-17,1.54316267308535e-13,"CD37","951"
"ENSG00000254838.4",1389.97122636384,-2.29513915990419,0.287521079089768,-8.20990839356769,2.21357312663368e-16,4.31085987834821e-13,"GVINP1","387751"
"ENSG00000233355.2",288.962339004639,-2.76647654198644,0.371441199347075,-8.17585891727314,2.93765573395638e-16,5.36342495627087e-13,"CHRM3-AS2","100506915"
"ENSG00000186854.6",223.459047845949,-2.43698328308187,0.30715190698706,-8.1539340707945,3.52272961844691e-16,6.05329280082771e-13,"TRABD2A","129293"
"ENSG00000163518.6",26.8859051647051,-2.90056782866161,0.377855576223325,-8.14307065597228,3.85377220031655e-16,6.21225426921022e-13,"FCRL4","83417"
"ENSG00000178999.8",72.0483483050478,-2.66916029258014,0.338538026100187,-8.13137924193216,4.24433208873539e-16,6.21225426921022e-13,"AURKB","9212"
"ENSG00000205744.5",1595.35725634921,-1.99545287245403,0.251397677980663,-8.13112568257717,4.25322077859114e-16,6.21225426921022e-13,"DENND1C","79958"
"ENSG00000270164.1",231.536151592188,-2.40933870677294,0.310918508647879,-8.05808810011156,7.7496959598535e-16,1.05571501955063e-12,"LINC01480","101927931"
"ENSG00000117322.12",674.012256021794,-2.46792604127723,0.384921844298215,-8.05495585555551,7.95074983914622e-16,1.05571501955063e-12,"CR2","1380"
"ENSG00000227507.2",668.434368258714,-2.73167210726898,0.362600383696886,-8.04135464927961,8.88506951715315e-16,1.12848109015251e-12,"LTB","4050"
"ENSG00000122986.9",284.603600869842,-1.88393163170051,0.239017017856827,-8.0031406433597,1.21285275506957e-15,1.45054193482743e-12,"HVCN1","84329"
"ENSG00000136490.4",1846.44916775452,-2.29424440653628,0.296116274505783,-8.00027740421642,1.24139218029186e-15,1.45054193482743e-12,"LIMD2","80774"
"ENSG00000188822.6",174.727759047534,-2.53897820137533,0.328579786968224,-7.99025242179254,1.34662742064001e-15,1.51298770045138e-12,"CNR2","1269"
"ENSG00000253701.1",57.4288825063313,-2.68829926587684,0.378975437258939,-7.88237090663465,3.21226818538594e-15,3.47543623079607e-12,NA,NA
"ENSG00000265206.2",163.051147127134,-2.64046800009679,0.354371064471874,-7.83816294963055,4.57185491078739e-15,4.76975091621148e-12,NA,NA
"ENSG00000026950.12",3270.88980494235,-1.79828188482949,0.234543942560827,-7.81969007167832,5.29535494755205e-15,5.33406581820312e-12,"BTN3A1","11119"
"ENSG00000170486.6",88.3290070373898,-2.66585843211853,0.37666409300741,-7.75521612796125,8.81931462226418e-15,8.42155180523188e-12,"KRT72","140807"
"ENSG00000255354.1",86.9624181484076,-2.6498921249122,0.370009489392861,-7.75353355906563,8.93701581412393e-15,8.42155180523188e-12,NA,NA
"ENSG00000250850.2",11.4486999657795,-3.00501062265024,0.383950889643306,-7.74688540864309,9.41738693619341e-15,8.59689709937756e-12,NA,NA
"ENSG00000145287.6",191.169944017307,-2.16906571242732,0.28714547344826,-7.73236853450121,1.05563813588023e-14,9.34463673494947e-12,"PLAC8","51316"
"ENSG00000161929.10",209.262051750001,-2.47413064639745,0.33159568709934,-7.72192641577603,1.14584541428003e-14,9.84483418880826e-12,"SCIMP","388325"
"ENSG00000182183.10",109.74258205716,-2.19799159355942,0.292726901246611,-7.70208410967002,1.33864722352111e-14,1.08682022102219e-11,"SHISAL2A","348378"
"ENSG00000034063.9",102.513098144747,-2.44303510762162,0.324358932311646,-7.70201563740306,1.33936491704775e-14,1.08682022102219e-11,NA,NA
"ENSG00000170006.7",332.209146614961,-2.11004329837735,0.282724086886541,-7.6953075497489,1.41154238671565e-14,1.11443178920913e-11,"TMEM154","201799"
"ENSG00000105501.7",60.8148139619455,-2.12892186830555,0.278651936543744,-7.68510780689182,1.52868210531672e-14,1.175154254224e-11,"SIGLEC5","8778"
"ENSG00000197520.6",82.7855180752768,-2.61216422664344,0.380462488272905,-7.66698205897457,1.76090398079523e-14,1.31896223299975e-11,"FAM177B","400823"
"ENSG00000128218.7",134.406404918889,-2.56312661974318,0.356209224397355,-7.63224393181049,2.30702382024011e-14,1.68481949592135e-11,"VPREB3","29802"
"ENSG00000162894.7",1351.99924505167,-2.48026965484128,0.338873701657657,-7.60807828846858,2.78201315650818e-14,1.98215044702237e-11,"FCMR","9214"
"ENSG00000271856.1",153.659763604578,-2.55977478486853,0.380664555588344,-7.58389293227176,3.35337918826987e-14,2.33235506780332e-11,"LINC01215","101929623"
